"Gene","Source","Df","Sum_Sq","Mean_Sq","F_value","P_value"
"PHD1","Within_Groups",4,287.633985574258,71.9084963935646,NA,NA
"PHM6","Between_Groups",1,165.733171676264,165.733171676264,24.3800493623742,0.00783010399104281
"PHM6","Within_Groups",4,27.1916055973275,6.79790139933188,NA,NA
"PHM7","Between_Groups",1,23.1381303739866,23.1381303739866,112.98368842023,0.000443525781535514
"PHM7","Within_Groups",4,0.819167109784092,0.204791777446023,NA,NA
"PHM8","Between_Groups",1,7888.35832671676,7888.35832671676,1676.0532584003,2.1274048468461e-06
"PHM8","Within_Groups",4,18.8260326148485,4.70650815371212,NA,NA
"PHO11","Between_Groups",1,0.444537680800411,0.444537680800411,0.81424361107717,0.417893107868126
"PHO11","Within_Groups",4,2.18380678584547,0.545951696461367,NA,NA
"PHO12","Between_Groups",1,2.83651286546324,2.83651286546324,3.94656246226935,0.11790867192202
"PHO12","Within_Groups",4,2.87492002732139,0.718730006830346,NA,NA
"PHO13","Between_Groups",1,348.735237362526,348.735237362526,32.0842560446638,0.00478977509590558
"PHO13","Within_Groups",4,43.4774285402859,10.8693571350715,NA,NA
"PHO2","Between_Groups",1,2.49129819201975,2.49129819201975,2.05496886828556,0.22500550450102
"PHO2","Within_Groups",4,4.84931568641858,1.21232892160465,NA,NA
"PHO23","Between_Groups",1,5.23451710799526,5.23451710799526,1.13395935266011,0.346943531696385
"PHO23","Within_Groups",4,18.4645669907508,4.61614174768769,NA,NA
"PHO3","Between_Groups",1,429454.392301065,429454.392301065,606.245417834532,1.61470638705588e-05
"PHO3","Within_Groups",4,2833.53493266833,708.383733167084,NA,NA
"PHO4","Between_Groups",1,1612.84722100629,1612.84722100629,650.606802087786,1.40306231778525e-05
"PHO4","Within_Groups",4,9.91595670891046,2.47898917722761,NA,NA
"PHO5","Between_Groups",1,452.706412587447,452.706412587447,44.4415442752284,0.00263074738807389
"PHO5","Within_Groups",4,40.7462359799036,10.1865589949759,NA,NA
"PHO8","Between_Groups",1,1469.84573271033,1469.84573271033,1503.62799290354,2.6420884678022e-06
"PHO8","Within_Groups",4,3.91013133473801,0.977532833684502,NA,NA
"PHO80","Between_Groups",1,230.779965641229,230.779965641229,48.7913011911689,0.00220973009037263
"PHO80","Within_Groups",4,18.9197631550764,4.72994078876911,NA,NA
"PHO81","Between_Groups",1,16.2052402920833,16.2052402920833,44.865602429128,0.0025846253281307
"PHO81","Within_Groups",4,1.44478080441977,0.361195201104943,NA,NA
"PHO84","Between_Groups",1,3833.43042988465,3833.43042988465,205.254597793575,0.000137908059690201
"PHO84","Within_Groups",4,74.7058623016072,18.6764655754018,NA,NA
"PHO85","Between_Groups",1,673.736494790522,673.736494790522,50.1736525375281,0.00209695991945725
"PHO85","Within_Groups",4,53.7123737831597,13.4280934457899,NA,NA
"PHO86","Between_Groups",1,5.70060729697385,5.70060729697385,1.37674139923763,0.305756181657615
"PHO86","Within_Groups",4,16.5626087807937,4.14065219519843,NA,NA
"PHO87","Between_Groups",1,0.924361039566161,0.924361039566161,1.85438657732529,0.244924610266061
"PHO87","Within_Groups",4,1.99389070406114,0.498472676015284,NA,NA
"PHO88","Between_Groups",1,279800.650819777,279800.650819777,493.313321052494,2.43253537612112e-05
"PHO88","Within_Groups",4,2268.7459582305,567.186489557625,NA,NA
"PHO89","Between_Groups",1,181.452867113624,181.452867113624,488.355931096776,2.4818344069456e-05
"PHO89","Within_Groups",4,1.48623457244479,0.371558643111199,NA,NA
"PHO90","Between_Groups",1,212.951173502061,212.951173502061,64.6153096350224,0.00130001944638961
"PHO90","Within_Groups",4,13.1827069903346,3.29567674758366,NA,NA
"PHO91","Between_Groups",1,132.813560171868,132.813560171868,108.967299685456,0.000475822504603535
"PHO91","Within_Groups",4,4.87535473688882,1.21883868422221,NA,NA
"PHR1","Between_Groups",1,47.6388040981913,47.6388040981913,19.0629368799437,0.0120045382897962
"PHR1","Within_Groups",4,9.99611012683205,2.49902753170801,NA,NA
"PHS1","Between_Groups",1,4916.16107916129,4916.16107916129,55.7665819265608,0.00171865997799875
"PHS1","Within_Groups",4,352.624163742752,88.1560409356879,NA,NA
"PIB1","Between_Groups",1,1942.48505473064,1942.48505473064,281.150894722993,7.4138509627607e-05
"PIB1","Within_Groups",4,27.6361923961791,6.90904809904478,NA,NA
"PIB2","Between_Groups",1,50.4441462964923,50.4441462964923,12.6290836299822,0.0237187787079552
"PIB2","Within_Groups",4,15.9771358791971,3.99428396979928,NA,NA
"PIC2","Between_Groups",1,878.194613513121,878.194613513121,28.5478363848505,0.00591329070768306
"PIC2","Within_Groups",4,123.048850592286,30.7622126480715,NA,NA
"PIF1","Between_Groups",1,16.7270702124651,16.7270702124651,291.61100489297,6.89730583757696e-05
"PIF1","Within_Groups",4,0.229443607158851,0.0573609017897128,NA,NA
